"leftAssetId","rightAssetId","distance","leftUrl","rightUrl","leftDestination","rightDestination","exactUrlMatch","sameSourceAsset"
"corpus:182bdeb19f1684b55a3ed2a3","corpus:c981f8813917fbf8b3246d2b","0","https://www.yeosonam.com/og-image.png?blog=shijiazhuang-3-4-budget&slot=3","https://www.yeosonam.com/og-image.png?blog=danang-complete-guide&slot=3","석가장","다낭","false","true"
"corpus:56d206e8dfd29d030a20af37","corpus:29d9cff6b2e45ddfa6c595e0","0","https://images.pexels.com/photos/6493192/pexels-photo-6493192.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","https://images.pexels.com/photos/6493192/pexels-photo-6493192.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","나가사키","일본","true","true"
"corpus:26ca4ba7e459e3faccd12580","corpus:fa7d92d72ba6cb880902e3f9","4","https://images.pexels.com/photos/15375185/pexels-photo-15375185.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","https://images.pexels.com/photos/6552837/pexels-photo-6552837.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","호화호특","보홀","false","false"
"corpus:fa7d92d72ba6cb880902e3f9","corpus:a8fc349d66be767332756abd","4","https://images.pexels.com/photos/6552837/pexels-photo-6552837.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","https://images.pexels.com/photos/31993261/pexels-photo-31993261.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940","보홀","나트랑","false","false"
"corpus:94c51c92901bd1c073772571","corpus:144aaad373aef4e540a6de61","0","https://images.pexels.com/photos/35614298/pexels-photo-35614298.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","https://images.pexels.com/photos/35614298/pexels-photo-35614298.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","석가장","장마철","true","true"
"corpus:1d13015df132a7d8138bebc1","corpus:5c64abbfe3f4eb874d1d4e31","0","https://www.yeosonam.com/og-image.png?blog=kualalumpur-singapore-malacca-weather","https://www.yeosonam.com/og-image.png?blog=bangkok-june-rainy-season-weather-preparation-2026&slot=3","쿠알라룸푸르","방콕","false","true"
"corpus:1d13015df132a7d8138bebc1","corpus:f5b1a4532fa3fc92f60591c0","0","https://www.yeosonam.com/og-image.png?blog=kualalumpur-singapore-malacca-weather","https://www.yeosonam.com/og-image.png?blog=%ED%98%B8%ED%99%94%ED%98%B8%ED%8A%B9-6%EC%9B%94-%EB%82%A0%EC%94%A8%EC%99%80-%EC%98%B7%EC%B0%A8%EB%A6%BC-%EC%99%84%EB%B2%BD-%EA%B0%80%EC%9D%B4%EB%93%9C&slot=3","쿠알라룸푸르","호화호특","false","true"
"corpus:1d13015df132a7d8138bebc1","corpus:c289fc5add3237ec88394f09","0","https://www.yeosonam.com/og-image.png?blog=kualalumpur-singapore-malacca-weather","https://www.yeosonam.com/og-image.png?blog=%EB%82%98%ED%8A%B8%EB%9E%91-%EB%8B%AC%EB%9E%8F-%ED%99%94%ED%8F%90-%ED%99%98%EC%A0%84-%ED%8C%81-%EB%AC%B8%ED%99%94-%EC%B4%9D%EC%A0%95%EB%A6%AC&slot=3","쿠알라룸푸르","나트랑","false","true"
"corpus:1d13015df132a7d8138bebc1","corpus:fdbcfca898404ec342114246","0","https://www.yeosonam.com/og-image.png?blog=kualalumpur-singapore-malacca-weather","https://www.yeosonam.com/og-image.png?blog=%EC%BA%90%EB%82%98%EB%8B%A4-%EB%A1%9C%ED%82%A4%EC%82%B0%EB%A7%A5-7%EC%9B%94-%EC%97%AC%ED%96%89-%EB%A0%8C%ED%84%B0%EC%B9%B4-%EC%97%86%EC%9D%B4-%EB%8C%80%EC%A4%91%EA%B5%90%ED%86%B5%EC%9C%BC%EB%A1%9C-%EA%B0%80%EB%8A%A5%ED%95%A0%EA%B9%8C&slot=3&dedupe=2","쿠알라룸푸르","캐나다 로키산맥","false","true"
"corpus:1d13015df132a7d8138bebc1","corpus:c981f8813917fbf8b3246d2b","0","https://www.yeosonam.com/og-image.png?blog=kualalumpur-singapore-malacca-weather","https://www.yeosonam.com/og-image.png?blog=danang-complete-guide&slot=3","쿠알라룸푸르","다낭","false","true"
"corpus:9fc00c2eabc07516e2212884","corpus:d9bb01c6f88c4df4d0940b7d","0","https://images.pexels.com/photos/7115326/pexels-photo-7115326.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","https://images.pexels.com/photos/7115326/pexels-photo-7115326.jpeg?auto=compress&cs=tinysrgb&fit=crop&h=627&w=1200","시모노세키","후쿠오카","true","true"
